value,type,first_seen,last_seen,status,confidence,n_sources,stories
vapi.ai,domain,2026-06-24,2026-06-24,expired,reported,1,miasma-campaign-deep-dive-tenable-analyzes-the-developer-credent
vast.ai,domain,2026-06-22,2026-06-22,expired,reported,1,fortibleed-attackers-rented-36-gpu-ai-cluster-for-350-day-to-cra
vboxservice.exe,domain,2026-08-11,2026-08-11,active,reported,1,abyssos-new-modular-c-rat-combines-hidden-vnc-browser-hijacking
vmtoolsd.exe,domain,2026-08-11,2026-08-11,active,reported,1,abyssos-new-modular-c-rat-combines-hidden-vnc-browser-hijacking
w2.js,domain,2026-08-10,2026-08-10,active,reported,1,bdthemes-supply-chain-poisoning-adds-webshells-and-stealth-backd
w3wp.exe,domain,2026-06-06,2026-06-06,expired,reported,1,op-512-china-linked-cluster-deploys-custom-aspx-ashx-web-shell-f
wbadmin.exe,domain,2026-06-30,2026-06-30,expired,reported,1,from-bing-search-to-ransomware-in-44-hours-dfir-report-details-b
weatherdataai.theworkpc.com,domain,2026-06-26,2026-06-26,expired,reported,1,turla-s-stockstay-backdoor-google-exposes-russian-fsb-aligned-ap
web.config,domain,2026-05-27,2026-05-27,expired,reported,1,cve-2026-5426-knowledgedeliver-zero-day-exploited-for-godzilla-w
web3devtoolsx.solidity,domain,2026-08-10,2026-08-10,active,reported,1,malicious-vs-code-extension-drops-detached-python-payload-outsid
webauthn.dll,domain,2026-07-03,2026-07-03,expired,reported,1,unit-42-builds-first-non-windows-rdp-client-with-webauthn-suppor
win.exe,domain,2026-06-30,2026-06-30,expired,reported,1,from-bing-search-to-ransomware-in-44-hours-dfir-report-details-b
win.handala,domain,2026-06-13,2026-06-13,expired,reported,1,handala-iran-linked-claims-california-water-service-breach-5gb-d
windowsecuryt.bat,domain,2026-06-20,2026-06-20,expired,reported,1,thailand-healthcare-sector-targeted-via-rar-backed-multi-stage-i
winlogon.exe,domain,2026-05-27,2026-05-27,expired,reported,1,cve-2026-40369-windows-kernel-lpe-100-reliable-system-from-any-s
wmiclnt.dll,domain,2026-05-23,2026-05-23,expired,reported,1,lazarus-remotepe-memory-resident-rat-that-never-touches-disk-tar
wolf.png,domain,2026-08-10,2026-08-10,active,reported,1,kimsuky-brings-ai-into-operation-gitpower-whisper-transcription
wool-basalt-clock.glitch.me,domain,2026-06-26,2026-06-26,expired,reported,1,turla-s-stockstay-backdoor-google-exposes-russian-fsb-aligned-ap
worlds-largest-ai-model-repository.html,domain,2026-07-20,2026-07-20,revoked,reported,1,hugging-face-breach-driven-end-to-end-by-autonomous-ai-agent
wp-login.php,domain,2026-08-08,2026-08-08,active,reported,1,wordpress-xss2shell-chains-login-page-xss-into-pre-auth-rce
wp2shell.com,domain,2026-07-19,2026-07-19,active,reported,1,wp2shell-public-exploits-released-in-the-wild-exploitation-confi
wsreset.exe,domain,2026-08-01,2026-08-01,active,reported,1,captivecrunch-midnight-blizzard-sub-cluster-weaponizes-hotel-wi
wtsapi32.dll,domain,2026-07-20,2026-07-20,active,reported,1,hellonet-vipnet-update-mechanism-abused-against-russian-governme
www.bitsight.com,domain,2026-08-11,2026-08-11,active,reported,1,the-invisible-expansion-of-the-attack-surface-shadow-ai-mcp-and
www.bwrightdrywall.com,domain,2026-08-11,2026-08-11,active,reported,1,qilin-targets-canadian-firm-b-wright-drywall-in-ransomware-attac
www.filemail.com,domain,2026-08-10,2026-08-10,active,reported,1,barracuda-ransomware-targets-micro-comm-inc
www.jsonkeeper.com,domain,2026-06-04,2026-06-04,expired,reported,1,lazarus-group-npm-brandjacking-campaign-dozens-of-malicious-pack
www.micro-comm-inc.com,domain,2026-08-10,2026-08-10,active,reported,1,barracuda-ransomware-targets-micro-comm-inc
www.microsoft.com,domain,2026-08-10,2026-08-10,active,reported,1,deadlock-ransomware-rust-encryptor-with-decentralized-recovery-i
www.scworld.com,domain,2026-08-10,2026-08-10,active,reported,1,ai-amplifies-dangling-dns-takeover-risks-research-shows
xenservice.exe,domain,2026-08-11,2026-08-11,active,reported,1,abyssos-new-modular-c-rat-combines-hidden-vnc-browser-hijacking
xint.io,domain,2026-07-23,2026-07-23,active,reported,1,study-ai-generated-vibe-coded-apps-contain-riddled-security-flaw
zbtctl.epplink.net,domain,2026-08-07,2026-08-07,active,reported,1,zbt-routers-ship-with-endlessdoors-factory-backdoor-root-c2-call
8d50036510859956d20d1f50e43171be53417431104c6befb1352ff5187c248a,sha256,2026-05-29,2026-05-29,expired,reported,1,openvpn-connect-macos-cve-2026-9560-cvss-9-4-critical-privilege
